"1M1 Records"
"1st &amp; 15th Entertainment"
"12 Apostles"
"12 Inch Records"
"12 T\303\263nar"
"12k"
"13th Planet Records"
"143 Records"
"1965 Records"
"2 Tone Records"
"2.13.61"
"20th Century Records"
"21st Circuitry"
"24 Hour Service Station"
"3 Beads of Sweat"
"33rd Street Records"
"306 Records"
"3C Records"
"3CG Records"
"3D Vision Records"
"4AD"
"415 Records"
"430 West Records"
"5 Minute Walk"
"5 Rue Christine"
"50 Records"
"504 Records"
"550 Music"
"555 Recordings"
"604 Records"
"625 Thrashcore"
"70's Gymnastics"
"7EF"
"75 Ark"
"77 Records"
"8bitpeoples"
"99 Records"
"Aardvark Records"
"A Different Drum"
"A&amp;E Records"
"A&amp;M Records"
"Abacus Records"
"Abbey Lounge Records"
"ABC Classics"
"ABC Dunhill Records"
"ABC Records"
"Abco Records"
"ABC-Paramount Records"
"ABKCO Records"
"Able Label"
"Abnak Records"
"Abner Records"
"Abnotic Records"
"Absolutely Kosher Records"
"Abundant Life Ministries"
"Accent Records"
"Ace Fu Records"
"Ace of Clubs Records"
"Ace of Hearts Records"
"Ace of Hearts Records (Boston)"
"Ace Records (UK)"
"Ace Records (US)"
"Ache Records"
"Acid Jazz Records"
"Acme Records"
"Aco Records"
"Acoustic Disc"
"Active Records"
"Acute Recordings"
"Ad Noiseam"
"Adam VIII"
"Additive Records"
"Adeline Records"
"Adelphi Records"
"Aeronaut Records"
"A-F Records"
"African Museum"
"Aftermath Entertainment"
"Aftermath Music"
"Afternoon Records"
"Agasea Records"
"Aggro Berlin"
"Agit-Prop Records"
"Agitprop! Records"
"AIM Records"
"AIP Records"
"Ajax Records"
"Ajax Records"
"Akarma Records"
"Aladdin Records (UK)"
"Aladdin Records (US)"
"Alarma Records"
"Albany Records"
"Albert Productions"
"Alchemy Records (Japan)"
"Alchemy Records (U.S.)"
"Alert Records"
"Alfa Matrix"
"Alias Records"
"Alien8 Recordings"
"Alison Records"
"Alive Records"
"All Around The World"
"All Platinum Records"
"All Saints Records"
"All Star Records"
"All the Madmen"
"ALLALOM Music"
"Alliance Entertainment Corporation"
"Alliance Records"
"Allido Records"
"Alligator Records"
"Almo Sounds"
"Almost Gold Recordings"
"Alta Records"
"Altarus Records"
"Alternative Tentacles"
"Alveran Records"
"AM:PM Records"
"Amarillo Records"
"Amaru Entertainment"
"The Amazing Kornyfone Record Label"
"Ambiances Magn\303\251tiques"
"Ambush Reality Records"
"Ambush Records"
"American Gramaphone"
"American Music Records"
"American Record Company"
"American Record Corporation"
"American Recording Productions"
"American Recordings"
"Amha Records"
"AMIGA"
"Ampex Records"
"Amphetamine Reptile Records"
"Amplexus"
"Amusic"
"A-Musik"
"Amy Records"
"Anchor Records"
"Andie Records"
"Angel Air"
"Angel Music Group"
"Angel Records"
"Angeline Entertainment"
"Angular Recording Corporation"
"Anhrefn Records"
"AnimeTrax"
"Aniplex"
"Anjunabeats"
"Anjunadeep"
"Ankst"
"Ankstmusik"
"Anna Records"
"Annette Records"
"AntAcidAudio"
"Anthem Records"
"ANTI-"
"Anticon Records"
"Anti-Creative Records"
"Anticulture Records"
"Antilles Records"
"Anti-Social Records"
"Ant-Zen"
"Anxious Records"
"AO Recordings"
"Aozora Records"
"Apegenine recordings"
"Apex Records"
"Apollo Records (1921)"
"Apollo Records (1928)"
"Apollo Records (1944)"
"Apollo Records (Belgium)"
"Apollo Records (Seattle)"
"Appalooso"
"Appian Publications &amp; Recordings"
"Applause Records"
"Apple Records"
"April/Schneeball"
"Apt Records"
"Aquarius Records"
"ARC Records"
"Arch Hill Recordings"
"Archenemy Record Company"
"Architecture Label"
"Architecture Records"
"Archive International Productions"
"Arcola"
"Ardent Records"
"Arena Rock Recording Co."
"Argo Records"
"Argo Records"
"Arhoolie Records"
"Ariola Records"
"Arista Nashville"
"Arista Records"
"Aristocrat Records"
"Ark 21 Records"
"Armed With Anger Records"
"Armind"
"Ars Benevola Mater"
"Artemis Records"
"ARTISTdirect"
"Artistic Records"
"Artiste Records"
"Arto Records"
"Artoffact Records"
"Arts &amp; Crafts"
"Asbestos Records"
"Ash International"
"Asian Man Records"
"Asphodel Records"
"ASR Records"
"Asthmatic Kitty Records"
"Astralwerks"
"Astro Magnetics"
"ASV Records"
"Asylum Records"
"Atavistic Records"
"Atco Records"
"ATIC Records"
"Atlantic Jaxx"
"Atlantic Records"
"ATO Records"
"Atom Sounds"
"ATP Recordings"
"Attack Records (UK)"
"Attacked By Plastic"
"Attic Records (Canada)"
"Attitude Records"
"Au Go Go Records"
"Audio Aubergine"
"Audio Dregs"
"Audio Therapy"
"Audiobulb Records"
"Audiogram"
"Audition Records"
"Aum Fidelity"
"Auralux Recordings"
"Authentic Records"
"Autograph Records"
"Autumn Records (1960s)"
"Autumn Records"
"Avang Music"
"Avantgarde Music"
"Avatar Records"
"Avco Records"
"Avex Trax"
"Avitone Records"
"Aware Records"
"Awareness Records"
"Axiom"
"Axis Records"
"Ayler Records"
"Azteca Records (California)"
"Azuli Records"
"Babel Label"
"Baby Records"
"Baby Toys Records"
"Babygrande Records"
"Back Beat Records"
"Back ta Basics"
"Backporch Revolution"
"Bad Boy Records"
"Bad Sekta"
"Bad Taste"
"Bad Taste Records"
"Badorb.com"
"Bald Freak Music"
"Bally Records"
"Bang Records"
"Bangor Records"
"Banner Records"
"Bar/None Records"
"Baratos Afins"
"Barclay Records"
"Barely Breaking Even"
"Barking Hoop Recordings"
"Barking Pumpkin Records"
"Barrelhouse Records"
"Barsuk Records"
"Basic Beat Recordings"
"Basic Replay"
"Bassic Records"
"Bassivity Music"
"Bassmint Music Inc."
"Baton Records"
"Battleaxe Records"
"Bayou Records"
"BBC Radio Collection"
"BC Recordings"
"BCore Disc"
"Bear Family Records"
"Bearsville Records"
"The Beats"
"Beatservice Records"
"Beautiful Bomb Records"
"BEC Recordings"
"Bedazzled Records"
"Bedrock Records"
"The Bedtime Record"
"Beekeeper Records"
"Beggars Banquet Records"
"Beka Records"
"Bell Records (1920s)"
"Bell Records (1940)"
"Bell Records"
"Bella Union"
"Bellmark Records"
"Below Par Records"
"Beltona Records"
"Belvedere Records"
"Benbecula Records"
"Benson Records"
"Berliner Gramophone"
"Beserkley Records"
"Beta-lactam Ring Records"
"Bet-Car Records"
"Bethlehem Records"
"Better Looking Records"
"Beverley's"
"Beyond Logic Records"
"BGO Records"
"Bibletone Records"
"Biddulph Recordings"
"Bieler Bros. Records"
"Big Beat Records (Ace subsidiary)"
"Big Beat Records (Atlantic subsidiary)"
"Big Brother Recordings"
"Big Cat Records"
"Big Dada"
"Big Life"
"Big Machine Records"
"Big Neck Records"
"Big Orange Clown Records"
"Big Records"
"Big Stick Music"
"Big Top Records"
"Big Tree Records"
"Big Up Entertainment"
"Big Vin Records"
"Big Wheel Recreation"
"Biltmore Records"
"Binge Records"
"Biograph Records"
"Birdman Records"
"BIS Records"
"Biscoito Fino"
"Bitchface"
"Bit Riot Records"
"Biv 10 Records"
"Bizarre Records"
"Black &amp; White Records"
"Black and Greene Records"
"Black Hen Music"
"Black Hole Recordings"
"Black Jays"
"Black Lotus Records"
"Black Mark Productions"
"Black Market Activities"
"Black Patti Records"
"Black Saint/Soul Note"
"Black Sun Empire Recordings"
"Black Swan Records"
"Black Top Records"
"The Black Wall Street Records"
"Black Wizard Entertainment"
"Blackball Records"
"Blackground Records"
"Blackout Records"
"Blacksmith Records"
"Blanco y Negro Records"
"Blast First"
"Blocwize Entertainment"
"Block Entertainment"
"Blocks Recording Club"
"Blonde Vinyl"
"Blood and Fire"
"Bloodline Records"
"Bloodshot Records"
"Bloodwork Records"
"Bloody Fist Records"
"Blue Amberol Records"
"Blue Beat Records"
"Blue Cat Records"
"Blue Dog Records"
"Blue Goose Records"
"Blue Horizon"
"Blue Jordan Records"
"Blue Leaf Music"
"Blue Note Records"
"Blue Rock Records"
"Blue Room Released"
"Blue Thumb Records"
"Bluebird Records"
"Blues Beacon Records"
"Blues Matters! Records"
"BlueSanct Records"
"Bluestar Entertainment"
"Bluesville Records"
"Bluesway Records"
"BME Recordings"
"BMG Heritage Records"
"BMG Music Canada"
"BMG"
"BNA Records"
"Boardwalk Records"
"Bodensatz"
"Body Head Entertainment"
"Bolero Records"
"Bomp! Records"
"Boner Records"
"Bong Load Custom Records"
"Bonnier Amigo Music Group"
"Bonnier Gazell Music"
"Bonzai Records"
"Boompa Records"
"Boomtown Records"
"Bop Cassettes"
"Border Community"
"Borderline Records"
"B.O.S.S."
"Boss Tuneage"
"Box O' Beanies Music"
"Boxed"
"Box-O-Plenty Records"
"BPitch Control"
"Bradley's Records"
"Brainiak Records"
"Brainstorm Artists International"
"Brainwashed"
"Brass Tacks Records"
"Brassland Records"
"Brave New World Records"
"Breakbeat Kaos"
"Breastfed Recordings"
"Breezeway Records"
"Bridge 9 Records"
"Bridge End Records"
"Bridge Records, Inc."
"Brille Records"
"Broadcast Twelve Records"
